,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
217,1100000.0,85755,-110.992897,32.461571,1.39,19156.0,2001,4,4.0,5164.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",153.0
218,1262500.0,85718,-110.926187,32.295751,1.0,9066.64,2007,4,5.0,4556.0,3.0,"Dishwasher, Refrigerator, Oven",2.0,Concrete,0.0
220,1400000.0,85718,-110.889886,32.328108,1.2,11063.08,2001,4,5.0,5077.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Island, Refrigerator, Warming Drawer",2.0,"Carpet, Ceramic Tile, Concrete, Wood",258.0
221,1575042.0,85658,-111.095457,32.467996,0.48,500.0,2017,3,3.0,3200.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Refrigerator, Wet Bar",2.0,Other: Tile,550.0
223,1450000.0,85718,-110.879625,32.326003,1.15,4739.6,2018,4,5.0,3315.0,3.0,"Dishwasher, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless",1.0,Other: Porcelain Tile,258.0
225,1450000.0,85718,-110.923416,32.28454,2.0,13482.84,2008,4,6.0,5701.0,4.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Natural Stone, Wood",194.0
227,1412500.0,85755,-110.993478,32.462181,0.91,13425.2,2006,3,6.0,4314.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",194.0
228,1390000.0,85718,-110.93843,32.340463,1.2,12916.54,2006,3,4.0,4737.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Other",160.0
229,1450000.0,85750,-110.84004,32.319159,0.7,16519.0,1996,4,6.0,6850.0,3.0,"Dishwasher, Gas Range, Refrigerator, Countertops: Granite",3.0,"Carpet, Natural Stone, Wood",142.0
230,1500000.0,85750,-110.837233,32.316392,0.84,13503.21,2001,4,5.0,5239.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Microwave: .",3.0,"Natural Stone, Wood",142.0
231,1450000.0,85718,-110.957469,32.352107,5.9,14205.0,1999,4,4.0,5582.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",5.0
232,1400000.0,85658,-111.089967,32.466866,0.65,11139.0,2011,3,4.0,3625.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Natural Stone, Wood",118.0
